LineId,Time,Component,Pid,Content,GroupTemplate,GroupTokens,idxDynamicTok,StaticTokList,EventTemplate
1,20171223-22:15:29:606,Step_LSC,30002312,onStandStepChanged 3579,2a5108f514b8d5eb4cfed31e5a4f1e68,"['onStandStepChanged', '<*>']",[],[],onStandStepChanged <*>
2,20171223-22:15:29:615,Step_LSC,30002312,onExtend:1514038530000 14 0 4,7aa966566751306144084fa0c7704d5c,"['onExtend:<*>', '<*>', '<*>', '<*>']",[0],"[['onExtend', ':', '<*>']]",onExtend:<*> <*> <*> <*>
3,20171223-22:15:29:633,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,5e098fbb197f9717a8f101ff1f3778b4,"['onReceive', 'action:', 'android.intent.action.SCREEN_ON']",[1],"[['action', ':']]",onReceive action: android.intent.action.SCREEN_ON
4,20171223-22:15:29:635,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,cf8c9a2ab58fa5f52c9882ca4dfede3c,"['processHandleBroadcastAction', 'action:android.intent.action.TIME_TICK']",[1],"[['action', ':', 'android.intent.action.SCREEN_ON']]",processHandleBroadcastAction action:android.intent.action.SCREEN_ON
5,20171223-22:15:29:635,Step_StandStepCounter,30002312,flush sensor data,21d3469d8db6094071ad54f6b32b9b10,"['flush', 'sensor', 'data']",[],[],flush sensor data
6,20171223-22:15:29:635,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,186bee7a46a9a141475ac614664ab43c,"['getTodayTotalDetailSteps', '=', '<*>##<*>##<*>##<*>##<*>##<*>']",[2],"[['<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>']]",getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
7,20171223-22:15:29:636,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,3ab8f5d5bc80934d872e70e317e829a4,['setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>'],[0],"[['setTodayTotalDetailSteps', '=', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>']]",setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
8,20171223-22:15:29:636,Step_LSC,30002312,onStandStepChanged 3579,2a5108f514b8d5eb4cfed31e5a4f1e68,"['onStandStepChanged', '<*>']",[],[],onStandStepChanged <*>
9,20171223-22:15:29:645,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126775,d37ad1997bd8bb1e5d09f06b50d00be1,"['calculateCaloriesWithCache', 'totalCalories=<*>']",[1],"[['totalCalories', '=', '<*>']]",calculateCaloriesWithCache totalCalories=<*>
10,20171223-22:15:29:648,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,f3a4f39045942ff156ced14f0e1ddef4,"['calculateAltitudeWithCache', 'totalAltitude=<*>']",[1],"[['totalAltitude', '=', '<*>']]",calculateAltitudeWithCache totalAltitude=<*>
11,20171223-22:15:29:649,Step_StandReportReceiver,30002312,REPORT : 7007 5002 150089 240,9cb12ecb7ae63983e651243fb3f32dfe,"['REPORT', ':', '<*>', '<*>', '<*>', '<*>']",[],[],REPORT : <*> <*> <*> <*>
12,20171223-22:15:29:737,Step_LSC,30002312,onExtend:1514038530000 0 0 4,7aa966566751306144084fa0c7704d5c,"['<*>', '<*>', '<*>', '<*>']",[0],"[['onExtend', ':', '<*>']]",onExtend:<*> <*> <*> <*>
13,20171223-22:15:29:738,Step_LSC,30002312,onStandStepChanged 3579,2a5108f514b8d5eb4cfed31e5a4f1e68,"['onStandStepChanged', '<*>']",[],[],onStandStepChanged <*>
14,20171223-22:15:29:792,Step_LSC,30002312,onStandStepChanged 3580,2a5108f514b8d5eb4cfed31e5a4f1e68,"['onStandStepChanged', '<*>']",[],[],onStandStepChanged <*>
15,20171223-22:15:29:800,Step_LSC,30002312,onExtend:1514038530000 1 0 4,7aa966566751306144084fa0c7704d5c,"['<*>', '<*>', '<*>', '<*>']",[0],"[['onExtend', ':', '<*>']]",onExtend:<*> <*> <*> <*>
16,20171223-22:15:29:950,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954,186bee7a46a9a141475ac614664ab43c,"['getTodayTotalDetailSteps', '=', '<*>']",[2],"[['<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>']]",getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
17,20171223-22:15:29:950,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,3ab8f5d5bc80934d872e70e317e829a4,['<*>'],[0],"[['setTodayTotalDetailSteps', '=', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>']]",setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
18,20171223-22:15:29:959,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126797,d37ad1997bd8bb1e5d09f06b50d00be1,"['calculateCaloriesWithCache', '<*>']",[1],"[['totalCalories', '=', '<*>']]",calculateCaloriesWithCache totalCalories=<*>
19,20171223-22:15:29:962,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,f3a4f39045942ff156ced14f0e1ddef4,"['calculateAltitudeWithCache', '<*>']",[1],"[['totalAltitude', '=', '<*>']]",calculateAltitudeWithCache totalAltitude=<*>
20,20171223-22:15:29:962,Step_StandReportReceiver,30002312,REPORT : 7008 5003 150111 240,9cb12ecb7ae63983e651243fb3f32dfe,"['REPORT', ':', '<*>', '<*>', '<*>', '<*>']",[],[],REPORT : <*> <*> <*> <*>
21,20171223-22:15:30:331,Step_LSC,30002312,onStandStepChanged 3581,2a5108f514b8d5eb4cfed31e5a4f1e68,"['onStandStepChanged', '<*>']",[],[],onStandStepChanged <*>
22,20171223-22:15:30:335,Step_LSC,30002312,onExtend:1514038531000 1 0 4,7aa966566751306144084fa0c7704d5c,"['<*>', '<*>', '<*>', '<*>']",[0],"[['onExtend', ':', '<*>']]",onExtend:<*> <*> <*> <*>
23,20171223-22:15:30:632,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,186bee7a46a9a141475ac614664ab43c,"['getTodayTotalDetailSteps', '=', '<*>']",[2],"[['<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>']]",getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
24,20171223-22:15:30:632,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,3ab8f5d5bc80934d872e70e317e829a4,['<*>'],[0],"[['setTodayTotalDetailSteps', '=', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>']]",setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
25,20171223-22:15:30:639,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126818,d37ad1997bd8bb1e5d09f06b50d00be1,"['calculateCaloriesWithCache', '<*>']",[1],"[['totalCalories', '=', '<*>']]",calculateCaloriesWithCache totalCalories=<*>
26,20171223-22:15:30:641,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,f3a4f39045942ff156ced14f0e1ddef4,"['calculateAltitudeWithCache', '<*>']",[1],"[['totalAltitude', '=', '<*>']]",calculateAltitudeWithCache totalAltitude=<*>
27,20171223-22:15:30:642,Step_StandReportReceiver,30002312,REPORT : 7009 5004 150132 240,9cb12ecb7ae63983e651243fb3f32dfe,"['REPORT', ':', '<*>', '<*>', '<*>', '<*>']",[],[],REPORT : <*> <*> <*> <*>
28,20171223-22:15:30:841,Step_LSC,30002312,onStandStepChanged 3583,2a5108f514b8d5eb4cfed31e5a4f1e68,"['onStandStepChanged', '<*>']",[],[],onStandStepChanged <*>
29,20171223-22:15:30:858,Step_LSC,30002312,onExtend:1514038531000 2 0 4,7aa966566751306144084fa0c7704d5c,"['<*>', '<*>', '<*>', '<*>']",[0],"[['onExtend', ':', '<*>']]",onExtend:<*> <*> <*> <*>
30,20171223-22:15:31:142,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951,186bee7a46a9a141475ac614664ab43c,"['getTodayTotalDetailSteps', '=', '<*>']",[2],"[['<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>']]",getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
31,20171223-22:15:31:143,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,3ab8f5d5bc80934d872e70e317e829a4,['<*>'],[0],"[['setTodayTotalDetailSteps', '=', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>']]",setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
32,20171223-22:15:31:157,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126861,d37ad1997bd8bb1e5d09f06b50d00be1,"['calculateCaloriesWithCache', '<*>']",[1],"[['totalCalories', '=', '<*>']]",calculateCaloriesWithCache totalCalories=<*>
33,20171223-22:15:31:160,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,f3a4f39045942ff156ced14f0e1ddef4,"['calculateAltitudeWithCache', '<*>']",[1],"[['totalAltitude', '=', '<*>']]",calculateAltitudeWithCache totalAltitude=<*>
34,20171223-22:15:31:160,Step_StandReportReceiver,30002312,REPORT : 7011 5005 150175 240,9cb12ecb7ae63983e651243fb3f32dfe,"['REPORT', ':', '<*>', '<*>', '<*>', '<*>']",[],[],REPORT : <*> <*> <*> <*>
35,20171223-22:15:31:841,Step_LSC,30002312,onStandStepChanged 3584,2a5108f514b8d5eb4cfed31e5a4f1e68,"['onStandStepChanged', '<*>']",[],[],onStandStepChanged <*>
36,20171223-22:15:31:862,Step_LSC,30002312,onExtend:1514038532000 1 0 4,7aa966566751306144084fa0c7704d5c,"['<*>', '<*>', '<*>', '<*>']",[0],"[['onExtend', ':', '<*>']]",onExtend:<*> <*> <*> <*>
37,20171223-22:15:32:145,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461,186bee7a46a9a141475ac614664ab43c,"['getTodayTotalDetailSteps', '=', '<*>']",[2],"[['<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>']]",getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
38,20171223-22:15:32:147,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,3ab8f5d5bc80934d872e70e317e829a4,['<*>'],[0],"[['setTodayTotalDetailSteps', '=', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>']]",setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
39,20171223-22:15:32:156,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126882,d37ad1997bd8bb1e5d09f06b50d00be1,"['calculateCaloriesWithCache', '<*>']",[1],"[['totalCalories', '=', '<*>']]",calculateCaloriesWithCache totalCalories=<*>
40,20171223-22:15:32:162,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,f3a4f39045942ff156ced14f0e1ddef4,"['calculateAltitudeWithCache', '<*>']",[1],"[['totalAltitude', '=', '<*>']]",calculateAltitudeWithCache totalAltitude=<*>
41,20171223-22:15:32:163,Step_StandReportReceiver,30002312,REPORT : 7012 5006 150197 240,9cb12ecb7ae63983e651243fb3f32dfe,"['REPORT', ':', '<*>', '<*>', '<*>', '<*>']",[],[],REPORT : <*> <*> <*> <*>
42,20171223-22:15:32:340,Step_LSC,30002312,onStandStepChanged 3585,2a5108f514b8d5eb4cfed31e5a4f1e68,"['onStandStepChanged', '<*>']",[],[],onStandStepChanged <*>
43,20171223-22:15:32:354,Step_LSC,30002312,onExtend:1514038533000 1 0 4,7aa966566751306144084fa0c7704d5c,"['<*>', '<*>', '<*>', '<*>']",[0],"[['onExtend', ':', '<*>']]",onExtend:<*> <*> <*> <*>
44,20171223-22:15:32:647,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7012##548365##8661##12741##27176464,186bee7a46a9a141475ac614664ab43c,"['getTodayTotalDetailSteps', '=', '<*>']",[2],"[['<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>']]",getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
45,20171223-22:15:32:648,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,3ab8f5d5bc80934d872e70e317e829a4,['<*>'],[0],"[['setTodayTotalDetailSteps', '=', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>', '#', '#', '<*>']]",setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
