LineId,Date,Time,Level,Component,Content,GroupTemplate,GroupTokens,idxDynamicTok,DynamicTokList,StaticTokList,EventTemplate
1,17/06/09,20:10:40,INFO,executor.CoarseGrainedExecutorBackend,"Registered signal handlers for [TERM, HUP, INT]",8771427816009fb3dc8cc450d98fcfe9,"['Registered', 'signal', 'handlers', 'for', '[TERM,', 'HUP,', 'INT]']",[],[],[],"Registered signal handlers for [TERM, HUP, INT]"
2,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi",3ec76d11eb5266c57840b42c10c30713,"['Changing', 'view', 'acls', 'to:', 'yarn,curi']",[],[],[],"Changing view acls to: yarn,curi"
3,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi",0b30fc74bb9b8b4c1e5f93446d045d06,"['Changing', 'modify', 'acls', 'to:', 'yarn,curi']",[],[],[],"Changing modify acls to: yarn,curi"
4,17/06/09,20:10:40,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",9a87815de086535918a2b963dab360bf,"['SecurityManager:', 'authentication', 'disabled;', 'ui', 'acls', 'disabled;', 'users', 'with', 'view', 'permissions:', 'Set(yarn,', 'curi);', 'users', 'with', 'modify', 'permissions:', 'Set(yarn,', 'curi)']",[],[],[],"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"
5,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi",3ec76d11eb5266c57840b42c10c30713,"['Changing', 'view', 'acls', 'to:', 'yarn,curi']",[],[],[],"Changing view acls to: yarn,curi"
6,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi",0b30fc74bb9b8b4c1e5f93446d045d06,"['Changing', 'modify', 'acls', 'to:', 'yarn,curi']",[],[],[],"Changing modify acls to: yarn,curi"
7,17/06/09,20:10:41,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",9a87815de086535918a2b963dab360bf,"['SecurityManager:', 'authentication', 'disabled;', 'ui', 'acls', 'disabled;', 'users', 'with', 'view', 'permissions:', 'Set(yarn,', 'curi);', 'users', 'with', 'modify', 'permissions:', 'Set(yarn,', 'curi)']",[],[],[],"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"
8,17/06/09,20:10:41,INFO,slf4j.Slf4jLogger,Slf4jLogger started,ac33f3ed892151e7910f08959e650702,"['<*>', 'started']",[],[],[],<*> started
9,17/06/09,20:10:41,INFO,Remoting,Starting remoting,8fe98269ec194c14b7d051c73299c039,"['Starting', 'remoting']",[],[],[],Starting remoting
10,17/06/09,20:10:41,INFO,Remoting,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],0905c50c91a1704a7b804756598dc007,"['Remoting', 'started;', 'listening', 'on', 'addresses', ':[akka.tcp:<*>]']",[5],"[[':', '[', 'akka.tcp', ':', '//sparkExecutorActorSystem@mesos-slave-07', ':', '55904', ']']]","[[':', '[', 'akka.tcp', ':', '<*>', ':', '<*>', ']']]",Remoting started; listening on addresses :[akka.tcp:<*>]
11,17/06/09,20:10:41,INFO,util.Utils,Successfully started service 'sparkExecutorActorSystem' on port 55904.,c72a0c9eb79e92d41ede4510dc8a961b,"['Successfully', 'started', 'service', ""'sparkExecutorActorSystem'"", 'on', 'port', '<*>']",[],[],[],Successfully started service 'sparkExecutorActorSystem' on port <*>
12,17/06/09,20:10:41,INFO,storage.DiskBlockManager,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,a479e1552c59cdbf4c48512e1594fe82,"['Created', 'local', 'directory', 'at', '<*>']",[],[],[],Created local directory at <*>
13,17/06/09,20:10:41,INFO,storage.MemoryStore,MemoryStore started with capacity 17.7 GB,d76a0da5715d6cc1c3c6441a801c1789,"['MemoryStore', 'started', 'with', 'capacity', '<*>', 'GB']",[],[],[],MemoryStore started with capacity <*> GB
14,17/06/09,20:10:42,INFO,executor.CoarseGrainedExecutorBackend,Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069,1d9a156aa0f708a65a3343d76721acd2,"['Connecting', 'to', 'driver:', 'spark:<*>']",[3],"[['spark', ':', '//CoarseGrainedScheduler@10.10.34.11', ':', '48069']]","[['spark', ':', '<*>', ':', '<*>']]",Connecting to driver: spark:<*>
15,17/06/09,20:10:42,INFO,executor.CoarseGrainedExecutorBackend,Successfully registered with driver,aa430a569477464c9868540a0d130d9a,"['Successfully', 'registered', 'with', 'driver']",[],[],[],Successfully registered with driver
16,17/06/09,20:10:42,INFO,executor.Executor,Starting executor ID 5 on host mesos-slave-07,7403014d31a356c1ac10612d199401d7,"['Starting', 'executor', 'ID', '<*>', 'on', 'host', '<*>']",[],[],[],Starting executor ID <*> on host <*>
17,17/06/09,20:10:42,INFO,util.Utils,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.,22f57afb4b1377707a52b1da37ff219f,"['Successfully', 'started', 'service', ""'org.apache.spark.network.netty.NettyBlockTransferService'"", 'on', 'port', '<*>']",[],[],[],Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port <*>
18,17/06/09,20:10:42,INFO,netty.NettyBlockTransferService,Server created on 40984,3a6e858363ff1b8971fcd624b75dae94,"['Server', 'created', 'on', '<*>']",[],[],[],Server created on <*>
19,17/06/09,20:10:42,INFO,storage.BlockManagerMaster,Trying to register BlockManager,ca9df3b4e12bcc52ae7228221abab1ee,"['Trying', 'to', 'register', 'BlockManager']",[],[],[],Trying to register BlockManager
20,17/06/09,20:10:42,INFO,storage.BlockManagerMaster,Registered BlockManager,799638f49ffa842d1561c6ae4d1cfb37,"['Registered', 'BlockManager']",[],[],[],Registered BlockManager
21,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 0,ed0bb5a911190b4cb7991c8859d3990b,"['Got', 'assigned', 'task', '<*>']",[],[],[],Got assigned task <*>
22,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 1,ed0bb5a911190b4cb7991c8859d3990b,"['Got', 'assigned', 'task', '<*>']",[],[],[],Got assigned task <*>
23,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 2,ed0bb5a911190b4cb7991c8859d3990b,"['Got', 'assigned', 'task', '<*>']",[],[],[],Got assigned task <*>
24,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 3,ed0bb5a911190b4cb7991c8859d3990b,"['Got', 'assigned', 'task', '<*>']",[],[],[],Got assigned task <*>
25,17/06/09,20:10:45,INFO,executor.Executor,Running task 0.0 in stage 0.0 (TID 0),4bbf633376c9c596ee422f0bc34b5042,"['Running', 'task', '<*>', 'in', 'stage', '<*>', '(TID', '<*>)']",[7],"[['0', ')']]","[['<*>', ')']]",Running task <*> in stage <*> (TID <*>)
